순번,시도,센터,센터주소,대표번호,직원수
1,부산광역시,부산진구,"부산 부산진구 백양대로 160, 2층(당감동, 부산진구 여성가족문화센터)",051-817-4313,17
2,부산광역시,부산남구,"부산 남구 수영로 356, 2층(대연동,부산광역시 여성회관)",051-610-2027,9
3,부산광역시,부산북구,부산 북구 효열로 76(금곡동 1108),051-365-3408,16
4,부산광역시,해운대구,"부산광역시 해운대구  양운로 91, 좌1동 주민센터 2층",051-702-8002,11
5,인천광역시,부평구,인천 부평구 열우물로 103(십정1동 279-20) 열우물어울림센터 7층,"032-511-1800~1,9",13
6,대전광역시,중구,대전광역시 중구 대흥로  128 대전YWCA 3층,042-335-4566,14
7,경기도,수원시,경기 수원시 장안구 송원로 63 신성빌딩 3층,031-257-8504,20
8,경기도,고양시,경기도 고양시 일산동구 대산로 27 정원빌딩 4층,031-938-9801,13
9,경기도,부천시,경기도 부천시 조종로 68번가길 4(원미동),032-327-1370,17
10,경기도,안산시,"경기도 안산시 단원구 화정로 26, 안산글로벌다문화센터 2층(초지동)",031-599-1700~16,25
11,충청북도,청원,충청북도 청주시 상당구 남일면 단재로 480 상당보건소 내 2층,043-293-8887,11
12,충청남도,천안시,"충남 천안시 동남구 은행길 15, 3층 천안시다문화가족지원센터",041-558-8653,23
13,경상북도,영양군,경북 영양군 영양읍 군민회관길 36,054-683-5432,11
14,경상북도,고령군,경북 고령군 대가야읍 왕릉로 30 문화누리 2층,054-956-6336,6
