연번,관리지역,거점센터,센터주소,연락처
1,서울특별시,서울시가족센터,서울특별시 중구 소파로4길 6,02-318-0227
2,경상남도,경상남도가족센터,경상남도 창원시 의창구 동읍 동읍로457번길 48 경남사회복지센터 2층,055-274-8337
3,부산광역시,부산남구다문화가족지원센터,부산광역시 남구 수영로 356 2층(대연동 부산광역시여성회관),051-610-2027
4,대구광역시,대구동구가족센터,대구시 동구 안심로 300 4~5층,053-961-2202~3
5,인천광역시,계양구가족센터,인천시 계양구 계양산로 102번길 5 3층,032-541-2860
6,광주광역시,광주북구가족센터,광주광역시 북구 하서로 195,062-363-2963
7,대전광역시,대전광역시가족센터,대전광역시 유성구 테크노6로 40-17 ,042-252-9989
8,울산광역시,울산남구가족센터,울산광역시 남구 여천로12번길 50(해피투게더타운 내 B1),052-274-3136
9,경기도,안산시다문화가족지원센터,경기도 안산시 단원구 화정로 26 (초지동 안산글로벌다문화센터),031-599-1700~16
10,경기도,구리시가족센터,경기도 구리시 아차산로 453-1 여성행복센터 5층,031-556-3873
11,강원도,춘천시가족센터,강원도 춘천시 공지로305 (홀트춘천복지센터1층),033-251-8014
12,충청북도,괴산군가족센터,충청북도 괴산군 괴산읍 금산길 3,043-832-1078
13,"충청남도, 세종시",충청남도가족센터,충청남도 홍성군 홍북읍 상하천로 20-1,041-631-6360
14,전라북도,전북특별자치도가족센터,전북특별자치도 전주시 덕진구 들사평로 38 5층,063-254-9872~5
15,전라남도,해남군가족센터,전남 해남군 해남읍 서림길 6-20 해남군가족어울림센터 3층,061-534-0017
16,경상북도,경상북도가족센터,경북 구미시 구미대로 350-27 구미시종합비즈니스지원센터 410호 ,054-454-0542
17,제주특별자치도,서귀포시가족센터,제주특별자치도 서귀포시 서호남로 12,064-732-6482
