연번,시도명,센터명,통번역지원사 배치인원,베트남어,중국어,일본어,태국어,러시아어,네팔어,몽골어,캄보디아어,필리핀어,우즈베크어
1,서울특별시,강남구 가족센터,1,0,1,0,0,0,0,0,0,0,0
2,서울특별시,강동구 가족센터,1,1,0,0,0,0,0,0,0,0,0
3,서울특별시,강북구 가족센터,1,1,0,0,0,0,0,0,0,0,0
4,서울특별시,강서구 가족센터,2,1,1,0,0,0,0,0,0,0,0
5,서울특별시,관악구 가족센터,1,1,0,0,0,0,0,0,0,0,0
6,서울특별시,광진구 가족센터,1,0,1,0,0,0,0,0,0,0,0
7,서울특별시,구로구 가족센터,3,1,1,0,0,0,0,0,1,0,0
8,서울특별시,금천구 가족센터,2,1,1,0,0,0,0,0,0,0,0
9,서울특별시,노원구 가족센터,2,1,1,0,0,0,0,0,0,0,0
10,서울특별시,도봉구 가족센터,2,1,1,0,0,0,0,0,0,0,0
11,서울특별시,동대문구 가족센터,4,1,1,1,0,0,0,1,0,0,0
12,서울특별시,동작구 가족센터,2,1,1,0,0,0,0,0,0,0,0
13,서울특별시,마포구 가족센터,1,1,0,0,0,0,0,0,0,0,0
14,서울특별시,서대문구 가족센터,1,1,0,0,0,0,0,0,0,0,0
15,서울특별시,서울중구 가족센터,1,0,0,0,0,0,0,1,0,0,0
16,서울특별시,서초구 가족센터,1,1,0,0,0,0,0,0,0,0,0
17,서울특별시,성동구 가족센터,1,1,0,0,0,0,0,0,0,0,0
18,서울특별시,성북구 가족센터,2,1,0,0,0,0,0,1,0,0,0
19,서울특별시,송파구 가족센터,1,1,0,0,0,0,0,0,0,0,0
20,서울특별시,양천구 가족센터,1,1,0,0,0,0,0,0,0,0,0
21,서울특별시,영등포구 가족센터,3,1,1,0,0,0,0,1,0,0,0
22,서울특별시,용산구 가족센터,1,1,0,0,0,0,0,0,0,0,0
23,서울특별시,은평구 가족센터,1,1,0,0,0,0,0,0,0,0,0
24,서울특별시,종로구 가족센터,1,1,0,0,0,0,0,0,0,0,0
25,서울특별시,중랑구 가족센터,1,1,0,0,0,0,0,0,0,0,0
26,부산광역시,금정구 가족센터,1,1,0,0,0,0,0,0,0,0,0
27,부산광역시,부산기장군 가족센터,1,1,0,0,0,0,0,0,0,0,0
28,부산광역시,부산남구다문화가족지원센터,1,1,0,0,0,0,0,0,0,0,0
29,부산광역시,부산동구 가족센터,1,1,0,0,0,0,0,0,0,0,0
30,부산광역시,부산동래구 가족센터,1,1,0,0,0,0,0,0,0,0,0
31,부산광역시,부산북구다문화가족지원센터,1,1,0,0,0,0,0,0,0,0,0
32,부산광역시,부산서구 가족센터,1,1,0,0,0,0,0,0,0,0,0
33,부산광역시,부산진구다문화가족지원센터,1,1,0,0,0,0,0,0,0,0,0
34,부산광역시,부산해운대구다문화가족지원센터,1,1,0,0,0,0,0,0,0,0,0
35,부산광역시,사상구 가족센터,1,1,0,0,0,0,0,0,0,0,0
36,부산광역시,사하구 가족센터,2,2,0,0,0,0,0,0,0,0,0
37,부산광역시,수영구 가족센터,1,1,0,0,0,0,0,0,0,0,0
38,부산광역시,연제구 가족센터,1,1,0,0,0,0,0,0,0,0,0
39,부산광역시,영도구 가족센터,1,1,0,0,0,0,0,0,0,0,0
40,대구광역시,군위군 가족센터,1,1,0,0,0,0,0,0,0,0,0
41,대구광역시,달성군 가족센터,2,1,0,0,0,0,0,0,0,0,1
42,대구광역시,대구남구 가족센터,2,1,0,0,0,0,0,0,1,0,0
43,대구광역시,대구달서구 가족센터,2,1,1,0,0,0,0,0,0,0,0
44,대구광역시,대구동구 가족센터,2,1,1,0,0,0,0,0,0,0,0
45,대구광역시,대구북구 가족센터,2,1,1,0,0,0,0,0,0,0,0
46,대구광역시,대구서구 가족센터,2,1,1,0,0,0,0,0,0,0,0
47,대구광역시,대구중구 가족센터,1,0,1,0,0,0,0,0,0,0,0
48,대구광역시,수성구 가족센터,2,0,1,0,0,0,0,0,1,0,0
49,인천광역시,강화군 가족센터,2,1,1,0,0,0,0,0,0,0,0
50,인천광역시,미추홀구 가족센터,3,1,1,0,0,0,0,0,1,0,0
51,인천광역시,옹진군가족센터,1,1,0,0,0,0,0,0,0,0,0
52,인천광역시,인천계양구 가족센터,1,0,1,0,0,0,0,0,0,0,0
53,인천광역시,인천남동구 가족센터,2,1,1,0,0,0,0,0,0,0,0
54,인천광역시,인천동구 가족센터,1,0,1,0,0,0,0,0,0,0,0
55,인천광역시,인천부평구다문화가족지원센터,1,1,0,0,0,0,0,0,0,0,0
56,인천광역시,인천서구 가족센터,2,1,1,0,0,0,0,0,0,0,0
57,인천광역시,인천연수구 가족센터,2,1,1,0,0,0,0,0,0,0,0
58,인천광역시,인천중구 가족센터,2,1,1,0,0,0,0,0,0,0,0
59,광주광역시,광주광산구 가족센터,4,1,1,0,0,0,0,0,1,1,0
60,광주광역시,광주남구 가족센터,2,1,1,0,0,0,0,0,0,0,0
61,광주광역시,광주동구 가족센터,2,1,1,0,0,0,0,0,0,0,0
62,광주광역시,광주북구 가족센터,5,1,1,0,0,0,0,1,1,1,0
63,광주광역시,광주서구 가족센터,3,1,1,0,0,0,0,0,0,1,0
64,대전광역시,대덕구 가족센터,1,0,1,0,0,0,0,0,0,0,0
65,대전광역시,대전광역시 가족센터,4,1,1,0,0,1,0,0,0,1,0
66,대전광역시,대전동구 가족센터,1,1,0,0,0,0,0,0,0,0,0
67,대전광역시,대전서구 가족센터,2,1,0,0,0,0,0,1,0,0,0
68,대전광역시,대전중구다문화가족지원센터,1,0,0,0,0,0,0,0,1,0,0
69,울산광역시,울산남구 가족센터,2,0,0,0,1,1,0,0,0,0,0
70,울산광역시,울산동구 가족센터,1,1,0,0,0,0,0,0,0,0,0
71,울산광역시,울산북구 가족센터,1,1,0,0,0,0,0,0,0,0,0
72,울산광역시,울산울주군 가족센터,1,1,0,0,0,0,0,0,0,0,0
